Date,Open,High,Low,Close,Volume,Adj Close,NDX,SP500,ewma_5,ewma_22,ewma_200,MACD,Lower band,Upper band,Middle band,AO,AC,%R
26-11-13,377.609985,382.5,374.820007,381.369995,2724400,381.369995,3445.76001,1802.75,374.1921259,359.2978378,299.3218647,11.05157171,343.4760304,380.6659711,362.0710007,23.96467787,-0.965846296,55.34513661
27-11-13,383.5,387,382.609985,386.709991,2269700,386.709991,3470.47998,1807.22998,378.3647476,361.6815033,300.1913983,11.77918258,341.7548683,384.9501336,363.3525009,25.76702865,1.016851728,54.71070678
29-11-13,389.100006,394.100006,388.619995,393.619995,2406000,393.619995,3487.820068,1805.810059,383.4498301,364.4587634,301.1210361,12.76623777,339.3366635,390.327338,364.8320007,28.31417683,3.082252728,53.88974874
02-12-13,399,399,389.100006,392.299988,4714000,392.299988,3481.149902,1800.900024,386.3998827,366.8797395,302.0282894,13.28878772,338.3897181,394.6042822,366.4970001,30.55126569,4.096994565,54.04657504
03-12-13,390.109985,390.950012,383.100006,384.660004,3702900,384.660004,3479.340088,1795.150024,385.8199231,368.4258494,302.8504955,12.93729636,338.8148863,396.7711154,367.7930008,30.53573789,2.709160506,54.95425994
04-12-13,383.5,389.690002,381.48999,385.959991,2355300,385.959991,3483.01001,1792.810059,385.8666124,369.9505574,303.6774556,12.61818047,339.4006993,398.8923,369.1464996,29.64482439,0.682217702,54.79981216
05-12-13,386.649994,386.649994,381.369995,384.48999,1906500,384.48999,3477.72998,1785.030029,385.4077383,371.2148559,304.4815604,12.10709894,340.7200311,400.4039679,370.5619995,27.25376598,-2.006188174,54.97445882
06-12-13,388.350006,388.350006,383.829987,386.950012,1984700,386.950012,3504.26001,1805.089966,385.9218295,372.5831303,305.3021421,11.76494738,344.9147925,400.5482079,372.7315002,24.3830008,-4.090718151,54.68219056
09-12-13,388.109985,388.209991,382.570007,384.890015,2761800,384.890015,3516.169922,1808.369995,385.5778913,373.6532942,306.0940612,11.19847619,348.2599761,400.661026,374.460501,20.93070574,-5.618901225,54.92693298
10-12-13,383.73999,389.059998,383.019989,387.779999,2736800,387.779999,3514.199951,1802.619995,386.3119272,374.8817033,306.9068566,10.8575818,351.086853,401.1741485,376.1305007,19.12649662,-5.141262085,54.58358215
